CustomerKey,Customer Code,Name,Education,Occupation
18813,CS551,Unknown,Unknown,Unknown
4751,15750,"Martinez, Kaitlin",Partial College,Professional
4760,15759,"Brooks, Erin",Bachelors,Management
4764,15763,"Young, Xavier",Partial College,Professional
4773,15772,"Anderson, Christopher",Partial High School,Skilled Manual
4774,15773,"Jenkins, Dylan",Partial High School,Skilled Manual
4775,15774,"Kelly, Natalie",High School,Professional
4776,15775,"Ward, Michelle",High School,Professional
4777,15776,"Mitchell, Jesse",High School,Professional
4778,15777,"Smith, Brianna",High School,Professional
4779,15778,"Miller, José",Partial College,Professional
4781,15780,"McDonald, Claudia",Partial College,Professional
4782,15781,"Evans, Blake",Bachelors,Management
4783,15782,"Collins, Katelyn",Partial College,Professional
4815,15814,"Subram, Monica",High School,Skilled Manual
17160,28159,"Yang, Tamara",Bachelors,Professional
17163,28162,"Ward, Bruce",Partial College,Skilled Manual
17165,28164,"Coleman, Gabrielle",Partial College,Skilled Manual
17599,28598,"Russell, Wyatt",High School,Clerical
17600,28599,"Perry, Stephanie",High School,Clerical
17602,28601,"Gonzales, Christian",High School,Clerical
17604,28603,"Bell, Brian",Partial High School,Clerical
17605,28604,"James, Allison",Partial High School,Clerical
17607,28606,"Wilson, Joshua",Partial High School,Clerical
5963,16962,"Coleman, Zachary",Graduate Degree,Professional
5964,16963,"Hughes, Faith",Graduate Degree,Professional
5966,16965,"Romero, Kristi",Bachelors,Skilled Manual
5967,16966,"Diaz, Amanda",High School,Skilled Manual
5968,16967,"Hernandez, Noah",Graduate Degree,Professional
5969,16968,"Griffin, Ian",Graduate Degree,Professional
5971,16970,"Foster, Katherine",Bachelors,Skilled Manual
15265,26264,"Lal, Elijah",Partial High School,Clerical
15266,26265,"Lopez, Tammy",Partial High School,Clerical
15267,26266,"Gao, Brent",High School,Skilled Manual
15269,26268,"Romero, Jonathon",Partial High School,Clerical
15272,26271,"Baker, Bailey",Partial High School,Clerical
13528,24527,"Coleman, Gavin",Graduate Degree,Management
13529,24528,"Hernandez, Katherine",Graduate Degree,Management
13530,24529,"Martinez, Jillian",Graduate Degree,Management
13531,24530,"She, Franklin",Graduate Degree,Management
13999,24998,"Martinez, Olivia",Graduate Degree,Management
14000,24999,"Jai, Shaun",Graduate Degree,Management
14155,25154,"Serrano, Clinton",Bachelors,Management
14156,25155,"Alonso, Theresa",Bachelors,Management
14162,25161,"Flores, Isabella",Bachelors,Management
14163,25162,"Morris, Bryan",Bachelors,Management
14170,25169,"Peterson, Angel",Graduate Degree,Management
14185,25184,"Tang, Peter",Partial College,Professional
14186,25185,"Reed, Jade",Bachelors,Management
14192,25191,"Gonzales, Austin",Graduate Degree,Management
14966,25965,"Roberts, Andrea",Graduate Degree,Management
14967,25966,"Watson, Alex",Graduate Degree,Management
15058,26057,"Subram, Barry",Bachelors,Management
15060,26059,"Anderson, Andrew",Graduate Degree,Management
15061,26060,"Edwards, Kyle",Graduate Degree,Management
15062,26061,"Butler, Connor",Graduate Degree,Management
15066,26065,"Powell, Chloe",Bachelors,Management
15083,26082,"Johnson, Christian",Bachelors,Management
15084,26083,"Smith, Alyssa",Partial College,Professional
15085,26084,"Jenkins, Luke",Bachelors,Management
15090,26089,"Rai, Terry",Bachelors,Management
15091,26090,"Moreno, Mathew",Bachelors,Management
15092,26091,"Bennett, Chloe",Bachelors,Management
15099,26098,"Lee, Daniel",Graduate Degree,Management
15107,26106,"King, Connor",High School,Professional
15108,26107,"Thomas, Alexis",Bachelors,Management
15109,26108,"Thompson, Dylan",Graduate Degree,Management
15204,26203,"Hall, Nicole",Bachelors,Management
15539,26538,"Black, Warren",Graduate Degree,Management
15541,26540,"Sanchez, Jada",Graduate Degree,Management
15594,26593,"Campbell, Eduardo",Graduate Degree,Management
15685,26684,"Andersen, Dustin",Bachelors,Management
15691,26690,"Bennett, Alexia",Bachelors,Management
15692,26691,"Suri, Tina",Bachelors,Management
15699,26698,"Rivera, Brooke",Partial College,Professional
15705,26704,"Alvarez, Frank",Bachelors,Management
15706,26705,"Jenkins, Eric",Partial College,Professional
15708,26707,"Brooks, Sydney",Bachelors,Management
15709,26708,"Washington, Katherine",Partial College,Professional
15723,26722,"McDonald, Alexandra",Partial College,Professional
15724,26723,"Kelly, Devin",Bachelors,Management
16453,27452,"Watson, Evan",Bachelors,Management
16460,27459,"Kumar, Kevin",Graduate Degree,Management
16461,27460,"Goel, Grant",Graduate Degree,Management
16528,27527,"Sanchez, Tina",Bachelors,Management
16529,27528,"Stewart, Jade",Graduate Degree,Management
16530,27529,"White, Rachel",Graduate Degree,Management
16616,27615,"Henderson, Maria",Bachelors,Management
16620,27619,"Lee, Joseph",Partial College,Professional
16621,27620,"Hughes, Nicole",Graduate Degree,Management
16622,27621,"Brown, Edward",Graduate Degree,Management
16631,27630,"Coleman, Xavier",Bachelors,Management
16632,27631,"Phillips, Gabriella",Bachelors,Management
16641,27640,"Thomas, Lauren",Partial College,Professional
16642,27641,"Alexander, Miranda",Partial College,Professional
16646,27645,"Anand, Colin",High School,Professional
16647,27646,"Li, Jackson",Bachelors,Management
16648,27647,"Moore, Daniel",Partial College,Professional
16662,27661,"Martinez, Christopher",Graduate Degree,Management
16664,27663,"Collins, Aaron",Graduate Degree,Management
16665,27664,"Roberts, Luis",Bachelors,Management
17076,28075,"Jones, Edward",Graduate Degree,Management
17077,28076,"Williams, Logan",Graduate Degree,Management
17084,28083,"Foster, Kaitlyn",Graduate Degree,Management
17085,28084,"McDonald, Cameron",Graduate Degree,Management
17147,28146,"Washington, Gavin",Graduate Degree,Management
17236,28235,"Rogers, Cole",Bachelors,Management
17237,28236,"Diaz, Isabel",Bachelors,Management
17238,28237,"Foster, Hailey",Bachelors,Management
17239,28238,"Flores, Dalton",Bachelors,Management
17243,28242,"Butler, Madison",Partial College,Professional
17244,28243,"Cook, Marcus",Bachelors,Management
17245,28244,"Davis, Samantha",Bachelors,Management
17253,28252,"Murphy, Sydney",Bachelors,Management
17254,28253,"Green, Jeremiah",Bachelors,Management
17260,28259,"Mitchell, Samuel",Bachelors,Management
17268,28267,"Young, Jordan",Partial College,Professional
17269,28268,"Campbell, Jordan",High School,Professional
17288,28287,"Bennett, Lauren",Partial College,Professional
17289,28288,"Srini, Marco",Partial College,Professional
17290,28289,"Gonzales, Jack",Partial College,Professional
18049,29048,"Harris, William",Bachelors,Management
18128,29127,"Murphy, Bryan",Bachelors,Management
18129,29128,"Reed, Alyssa",Graduate Degree,Management
18130,29129,"Watson, Timothy",Graduate Degree,Management
18220,29219,"Arun, Darren",Graduate Degree,Management
18221,29220,"Ramos, Melinda",Graduate Degree,Management
18222,29221,"Bennett, Kelly",Bachelors,Management
18229,29228,"Campbell, Courtney",Graduate Degree,Management
18235,29234,"Lopez, Kevin",Bachelors,Management
18236,29235,"Rogers, Isaiah",Partial College,Professional
18237,29236,"Young, Eric",Partial College,Professional
18239,29238,"Powell, Xavier",Partial College,Professional
18240,29239,"Miller, Samantha",Partial College,Professional
18244,29243,"Torres, Jared",Bachelors,Management
18245,29244,"Ross, Eric",Bachelors,Management
18246,29245,"Roberts, Angel",Bachelors,Management
18252,29251,"Zhou, Mandy",Bachelors,Management
18253,29252,"Parker, Alex",Bachelors,Management
18262,29261,"Turner, Robert",Graduate Degree,Management
18275,29274,"Green, Miguel",High School,Professional
18355,29354,"Edwards, Isaiah",Graduate Degree,Professional
82,11081,"Baker, Savannah",Bachelors,Management
83,11082,"Butler, Angela",Graduate Degree,Management
84,11083,"Cox, Alyssa",Graduate Degree,Management
174,11173,"Thomas, Sarah",Graduate Degree,Management
175,11174,"Robinson, Nicholas",Graduate Degree,Management
178,11177,"Flores, Jose",Graduate Degree,Management
18824,CS579,Unknown,Unknown,Unknown
18840,CS609,Unknown,Unknown,Unknown
18841,CS610,Unknown,Unknown,Unknown
19036,CS952,Unknown,Unknown,Unknown
17164,28163,"Washington, Rachel",Partial College,Skilled Manual
4750,15749,"Brown, Grace",Bachelors,Management
15268,26267,"Martin, Matthew",High School,Skilled Manual
14157,25156,"Peterson, Catherine",Graduate Degree,Management
15059,26058,"Stewart, Faith",Bachelors,Management
15106,26105,"Gonzales, Morgan",Partial College,Professional
18223,29222,"Perez, Evan",Bachelors,Management
18254,29253,"Green, Savannah",Bachelors,Management
15273,26272,"Hughes, Kelly",Partial High School,Clerical
17606,28605,"Coleman, Caleb",Partial High School,Clerical
14065,25064,"Harris, James",Bachelors,Management
14177,25176,"Flores, Edward",Bachelors,Management
14293,25292,"Adams, Eduardo",Bachelors,Management
16643,27642,"Johnson, Kayla",High School,Professional
17259,28258,"Bryant, Destiny",Bachelors,Management
17270,28269,"Green, Alexandra",Bachelors,Management
18046,29045,"Jones, Anna",Graduate Degree,Management
17159,28158,"Luo, Clarence",Bachelors,Professional
4780,15779,"Hayes, Jackson",Partial College,Professional
14173,25172,"Gray, Evan",Bachelors,Management
15098,26097,"Flores, Robert",Graduate Degree,Management
15540,26539,"Hayes, Faith",Graduate Degree,Management
15690,26689,"Gill, Arthur",Bachelors,Management
16459,27458,"Liang, Roger",Bachelors,Management
16617,27616,"Brown, Emma",Bachelors,Management
16628,27627,"Yang, Jason",Graduate Degree,Management
16663,27662,"Zheng, Bianca",Partial College,Professional
17078,28077,"Williams, Sarah",Bachelors,Management
5970,16969,"Turner, Jackson",Graduate Degree,Professional
18238,29237,"Jenkins, Jennifer",Partial College,Professional
18247,29246,"Williams, Thomas",Bachelors,Management
11805,22804,"Butler, Kelly",Partial College,Professional
11807,22806,"Sun, Crystal",Partial College,Professional
11810,22809,"Sara, Martin",Partial College,Professional
11811,22810,"Sanchez, Nathaniel",Partial College,Professional
9846,20845,"Malhotra, Barry",Bachelors,Clerical
9848,20847,"Young, Kyle",Bachelors,Clerical
9855,20854,"Raji, Kara",High School,Manual
6112,17111,"Chande, Jenny",Partial College,Clerical
6114,17113,"Pal, Clarence",Partial College,Clerical
6195,17194,"Thompson, Wyatt",Partial College,Professional
6199,17198,"Jiménez, Cheryl",Partial College,Professional
6200,17199,"Zhou, Dennis",High School,Professional
6201,17200,"She, Russell",Partial College,Professional
6202,17201,"Yang, Vincent",Partial College,Professional
9057,20056,"She, Johnny",Partial High School,Manual
4668,15667,"Ramos, Hector",Bachelors,Clerical
4673,15672,"Nara, Kelvin",Partial College,Manual
4681,15680,"She, Tasha",High School,Manual
9894,20893,"Hall, Robert",Bachelors,Clerical
6115,17114,"Mehta, Jarrod",Partial College,Clerical
9044,20043,"Zheng, Brent",Partial High School,Manual
6198,17197,"Nara, Mindy",Partial College,Professional
11806,22805,"Goel, Cristina",Bachelors,Management
11816,22815,"Wang, Margaret",Bachelors,Management
4675,15674,"Raheem, Tommy",Bachelors,Clerical
12275,23274,"Jackson, Ethan",High School,Skilled Manual
12277,23276,"Zhou, Vincent",High School,Skilled Manual
12278,23277,"Torres, Isaiah",High School,Skilled Manual
12279,23278,"Flores, Chloe",High School,Skilled Manual
12328,23327,"Moore, Madison",Partial College,Skilled Manual
12380,23379,"Richardson, Riley",Bachelors,Professional
12518,23517,"Martinez, Ronald",High School,Professional
12550,23549,"Sai, George",High School,Skilled Manual
12559,23558,"Barnes, Dakota",High School,Skilled Manual
12565,23564,"Howard, Jessica",Partial High School,Clerical
12667,23666,"Anderson, Olivia",High School,Professional
12668,23667,"Arun, Harold",High School,Professional
12688,23687,"Flores, Melissa",Partial High School,Clerical
12689,23688,"Thomas, Olivia",Partial High School,Clerical
12693,23692,"King, Isaac",Partial High School,Clerical
12694,23693,"Jenkins, Jacqueline",Partial High School,Clerical
12695,23694,"Brooks, Brian",Partial High School,Clerical
12696,23695,"Coleman, Elijah",Partial High School,Skilled Manual
